dc_id,sku_id,available_inv
DC014,SKU063,47
DC003,SKU066,552
DC004,SKU030,0
DC002,SKU045,43398
DC003,SKU015,46
DC016,SKU070,143
DC017,SKU002,0
DC006,SKU042,40
DC007,SKU070,205
DC015,SKU061,2184
DC008,SKU049,0
DC004,SKU032,3086
DC007,SKU052,1
DC012,SKU005,770
DC011,SKU045,6770
DC002,SKU062,8459
DC018,SKU059,51
DC012,SKU011,95
DC006,SKU014,1554
DC016,SKU007,180
DC017,SKU039,849
DC015,SKU068,743
DC002,SKU006,3077
DC015,SKU040,0
DC007,SKU021,768
DC017,SKU069,887
DC016,SKU061,3683
DC001,SKU035,0
DC002,SKU020,599
DC018,SKU047,1720
DC010,SKU061,7170
DC010,SKU043,208
DC009,SKU027,24
DC006,SKU003,288
DC011,SKU022,1196
DC014,SKU070,0
DC006,SKU047,3452
DC005,SKU068,429
DC010,SKU042,0
DC005,SKU044,1084
DC009,SKU056,112
DC007,SKU019,2797
DC017,SKU033,70
DC008,SKU063,168
DC008,SKU019,4796
DC005,SKU050,148
DC013,SKU032,1356
DC007,SKU015,39
DC012,SKU030,124
DC011,SKU069,851
DC016,SKU069,374
DC014,SKU071,0
DC002,SKU060,192
DC007,SKU047,2227
DC017,SKU068,1711
DC005,SKU032,632
DC018,SKU055,0
DC003,SKU063,6608
DC001,SKU072,746
DC003,SKU045,39844
DC018,SKU045,35836
DC010,SKU035,0
DC008,SKU022,2098
DC012,SKU062,967
DC012,SKU053,0
DC015,SKU026,929
DC018,SKU011,136
DC007,SKU031,0
DC005,SKU031,513
DC010,SKU027,0
DC008,SKU052,21
DC008,SKU056,349
DC001,SKU019,12176
DC002,SKU029,15925
DC014,SKU019,7679
DC015,SKU044,2258
DC010,SKU011,444
DC014,SKU032,1060
DC011,SKU020,169
DC014,SKU062,2623
DC015,SKU045,33499
DC003,SKU062,4958
DC017,SKU027,111
DC015,SKU035,1120
DC003,SKU002,52
DC003,SKU047,10445
DC015,SKU019,11512
DC016,SKU047,696
DC013,SKU045,7984
DC002,SKU034,1008
DC011,SKU070,129
DC017,SKU050,88
DC001,SKU021,821
DC016,SKU066,231
DC001,SKU047,0
DC012,SKU016,435
DC011,SKU033,9
DC004,SKU052,124
DC016,SKU035,0
DC006,SKU069,2971
DC002,SKU048,482
DC016,SKU020,279
DC017,SKU042,13
DC017,SKU019,8452
DC006,SKU063,1507
DC013,SKU006,1854
DC015,SKU036,0
DC005,SKU067,797
DC010,SKU054,1485
DC010,SKU004,188
DC012,SKU022,2127
DC007,SKU024,88
DC015,SKU009,368
DC018,SKU005,1436
DC004,SKU048,603
DC005,SKU046,6111
DC012,SKU010,205
DC016,SKU023,10145
DC013,SKU063,443
DC005,SKU070,294
DC007,SKU002,0
DC010,SKU021,1523
DC008,SKU061,1339
DC011,SKU061,1831
DC018,SKU063,658
DC009,SKU067,97
DC012,SKU024,102
DC001,SKU042,0
DC013,SKU061,355
DC011,SKU048,123
DC002,SKU041,375
DC007,SKU014,440
DC001,SKU005,127
DC009,SKU030,38
DC018,SKU050,80
DC001,SKU024,51
DC004,SKU058,383
DC015,SKU022,4064
DC006,SKU013,0
DC008,SKU059,34
DC015,SKU030,218
DC012,SKU064,0
DC013,SKU031,258
DC002,SKU072,563
DC010,SKU018,320
DC015,SKU049,133
DC001,SKU062,7381
DC012,SKU060,0
DC002,SKU018,0
DC009,SKU047,200
DC008,SKU030,93
DC018,SKU040,145
DC002,SKU027,65
DC003,SKU024,58
DC011,SKU015,22
DC011,SKU053,0
DC013,SKU047,1035
DC004,SKU066,118
DC002,SKU009,1645
DC015,SKU015,276
DC001,SKU066,454
DC006,SKU026,445
DC018,SKU021,677
DC016,SKU025,1272
DC014,SKU016,1298
DC015,SKU002,178
DC005,SKU017,69
DC017,SKU061,647
DC003,SKU060,199
DC014,SKU045,16899
DC018,SKU039,433
DC012,SKU025,618
DC002,SKU031,4194
DC001,SKU063,0
DC007,SKU022,759
DC003,SKU035,0
DC016,SKU042,48
DC003,SKU040,5
DC006,SKU067,2382
DC018,SKU014,0
DC002,SKU056,769
DC017,SKU038,160
DC006,SKU031,3133
DC007,SKU007,0
DC004,SKU068,378
DC002,SKU005,254
DC002,SKU013,0
DC006,SKU045,36280
DC005,SKU013,0
DC009,SKU025,212
DC004,SKU020,339
DC011,SKU047,155
DC014,SKU012,142
DC017,SKU067,220
DC006,SKU055,347
DC011,SKU029,3769
DC017,SKU023,19299
DC013,SKU040,161
DC007,SKU054,717
DC009,SKU008,25
DC004,SKU013,0
DC018,SKU029,4382
DC012,SKU020,31
DC018,SKU004,63
DC015,SKU060,221
DC005,SKU072,1008
DC005,SKU071,309
DC002,SKU069,2492
DC002,SKU042,83
DC004,SKU009,0
DC017,SKU003,168
DC003,SKU005,75
DC014,SKU057,0
DC018,SKU020,91
DC002,SKU004,0
DC004,SKU023,64912
DC017,SKU057,280
DC014,SKU020,254
DC016,SKU072,282
DC010,SKU051,0
DC016,SKU039,190
