date,dc_id,sku_id,idx,leadtime
2019/1/1,DC001,SKU052,DC001_SKU052,1
2019/1/1,DC001,SKU060,DC001_SKU060,2
2019/1/1,DC001,SKU029,DC001_SKU029,1
2019/1/1,DC001,SKU036,DC001_SKU036,4
2019/1/1,DC001,SKU045,DC001_SKU045,3
2019/1/1,DC001,SKU068,DC001_SKU068,4
2019/1/1,DC001,SKU069,DC001_SKU069,1
2019/1/1,DC001,SKU070,DC001_SKU070,2
2019/1/1,DC001,SKU071,DC001_SKU071,1
2019/1/1,DC001,SKU011,DC001_SKU011,4
2019/1/1,DC001,SKU013,DC001_SKU013,3
2019/1/1,DC001,SKU016,DC001_SKU016,3
2019/1/1,DC001,SKU046,DC001_SKU046,3
2019/1/1,DC001,SKU047,DC001_SKU047,2
2019/1/1,DC001,SKU062,DC001_SKU062,4
2019/1/1,DC001,SKU063,DC001_SKU063,1
2019/1/1,DC001,SKU001,DC001_SKU001,6
2019/1/1,DC001,SKU002,DC001_SKU002,2
2019/1/1,DC001,SKU022,DC001_SKU022,5
2019/1/1,DC001,SKU031,DC001_SKU031,3
2019/1/1,DC001,SKU015,DC001_SKU015,4
2019/1/1,DC001,SKU005,DC001_SKU005,9
2019/1/1,DC001,SKU006,DC001_SKU006,4
2019/1/1,DC001,SKU008,DC001_SKU008,5
2019/1/1,DC001,SKU009,DC001_SKU009,4
2019/1/1,DC001,SKU048,DC001_SKU048,4
2019/1/1,DC001,SKU050,DC001_SKU050,5
2019/1/1,DC001,SKU053,DC001_SKU053,3
2019/1/1,DC001,SKU054,DC001_SKU054,3
2019/1/1,DC001,SKU055,DC001_SKU055,1
2019/1/1,DC001,SKU056,DC001_SKU056,7
2019/1/1,DC001,SKU057,DC001_SKU057,3
2019/1/1,DC001,SKU058,DC001_SKU058,2
2019/1/1,DC001,SKU017,DC001_SKU017,3
2019/1/1,DC001,SKU019,DC001_SKU019,1
2019/1/1,DC001,SKU023,DC001_SKU023,1
2019/1/1,DC001,SKU024,DC001_SKU024,2
2019/1/1,DC001,SKU025,DC001_SKU025,2
2019/1/1,DC001,SKU026,DC001_SKU026,3
2019/1/1,DC001,SKU027,DC001_SKU027,2
2019/1/1,DC001,SKU030,DC001_SKU030,1
2019/1/1,DC001,SKU032,DC001_SKU032,1
2019/1/1,DC001,SKU034,DC001_SKU034,6
2019/1/1,DC001,SKU038,DC001_SKU038,5
2019/1/1,DC001,SKU039,DC001_SKU039,4
2019/1/1,DC001,SKU041,DC001_SKU041,2
2019/1/1,DC001,SKU042,DC001_SKU042,1
2019/1/1,DC002,SKU052,DC002_SKU052,4
2019/1/1,DC002,SKU060,DC002_SKU060,3
2019/1/1,DC002,SKU029,DC002_SKU029,3
2019/1/1,DC002,SKU036,DC002_SKU036,1
2019/1/1,DC002,SKU045,DC002_SKU045,4
2019/1/1,DC002,SKU068,DC002_SKU068,2
2019/1/1,DC002,SKU069,DC002_SKU069,2
2019/1/1,DC002,SKU070,DC002_SKU070,2
2019/1/1,DC002,SKU071,DC002_SKU071,4
2019/1/1,DC002,SKU011,DC002_SKU011,6
2019/1/1,DC002,SKU013,DC002_SKU013,5
2019/1/1,DC002,SKU016,DC002_SKU016,1
2019/1/1,DC002,SKU046,DC002_SKU046,2
2019/1/1,DC002,SKU047,DC002_SKU047,6
2019/1/1,DC002,SKU062,DC002_SKU062,2
2019/1/1,DC002,SKU063,DC002_SKU063,3
2019/1/1,DC002,SKU001,DC002_SKU001,5
2019/1/1,DC002,SKU002,DC002_SKU002,3
2019/1/1,DC002,SKU022,DC002_SKU022,5
2019/1/1,DC002,SKU031,DC002_SKU031,4
2019/1/1,DC002,SKU015,DC002_SKU015,4
2019/1/1,DC002,SKU005,DC002_SKU005,3
2019/1/1,DC002,SKU006,DC002_SKU006,5
2019/1/1,DC002,SKU008,DC002_SKU008,1
2019/1/1,DC002,SKU009,DC002_SKU009,4
2019/1/1,DC002,SKU048,DC002_SKU048,2
2019/1/1,DC002,SKU049,DC002_SKU049,3
2019/1/1,DC002,SKU050,DC002_SKU050,3
2019/1/1,DC002,SKU053,DC002_SKU053,5
2019/1/1,DC002,SKU054,DC002_SKU054,1
2019/1/1,DC002,SKU055,DC002_SKU055,2
2019/1/1,DC002,SKU056,DC002_SKU056,3
2019/1/1,DC002,SKU057,DC002_SKU057,3
2019/1/1,DC002,SKU058,DC002_SKU058,3
2019/1/1,DC002,SKU017,DC002_SKU017,3
2019/1/1,DC002,SKU019,DC002_SKU019,7
2019/1/1,DC002,SKU023,DC002_SKU023,4
2019/1/1,DC002,SKU024,DC002_SKU024,2
2019/1/1,DC002,SKU025,DC002_SKU025,4
2019/1/1,DC002,SKU026,DC002_SKU026,3
2019/1/1,DC002,SKU027,DC002_SKU027,3
2019/1/1,DC002,SKU030,DC002_SKU030,6
